1/10,07:20,16:46
1/11,07:20,16:47
1/12,07:19,16:48
1/13,07:19,16:49
1/14,07:19,16:50
1/15,07:18,16:52
1/16,07:18,16:53
1/17,07:18,16:54
1/18,07:17,16:55
1/19,07:17,16:56
1/20,07:16,16:57
1/21,07:15,16:58
1/22,07:15,17:00
1/23,07:14,17:01
1/24,07:13,17:02
1/25,07:13,17:03
1/26,07:12,17:04
1/27,07:11,17:06
1/28,07:10,17:07
1/29,07:09,17:08
1/30,07:09,17:09
1/31,07:08,17:11
2/1,07:07,17:12
2/2,07:06,17:13
2/3,07:05,17:14
2/4,07:04,17:15
2/5,07:03,17:17
2/6,07:02,17:18
2/7,07:01,17:19
2/8,06:59,17:20
2/9,06:58,17:22
2/10,06:57,17:23
2/11,06:56,17:24
2/12,06:55,17:25
2/13,06:53,17:27
2/14,06:52,17:28
2/15,06:51,17:29
2/16,06:50,17:30
2/17,06:48,17:31
2/18,06:47,17:33
2/19,06:46,17:34
2/20,06:44,17:35
2/21,06:43,17:36
2/22,06:41,17:37