.5,37,.25,39,0,40,.25,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.25,35,2,91,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,.25,35.00,0,36,.25,37.00,.125,37.75,.125,39.50,.125,42.00,.5,85.00,.125,87.00,.125,88.25,.125,89.97,0,92.50,.5,,,,,,,,,,,,,,,,,,,,,,,,
.5,36.5,2.25,42.00,1.25,42.50,1.25,92.00,.25,93.00,.25,93.75,0,94.00,.125,95.25,.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35.00,0,36.00,0.125,36.50,.125,37.50,.125,38.75,0,39.50,0,40.00,.125,94.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.125,35.00,.5,37.25,0.25,38.00,.25,41.75,.25,43.50,.25,92.75,.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36.00,1.75,50.00,.5,52.75,1,91.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37.00,.25,88.00,0.25,90.50,.5,92.50,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37.75,.5,39.00,0.125,40.50,0.125,42.00,0.125,43.25,0.125,44.25,0.125,46.00,0.125,49.00,0.125,50.50,0.125,55.75,0.125,60.00,0.125,61.00,0.125,60.75,0.125,66.75,0.125,70.00,0.125,87.00,0.125,88.25,0.125,88.75,0,89.50,0,90.60,0.125,,,,,,,,
0,34.00,1,35.50,0.5,36.70,.5,91.00,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34.50,1,91.00,1,93.20,1,95.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35.25,.5,43.00,.125,47,1,89,0,90.25,.125,92.50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34.00,.25,37.75,.25,39.50,.25,93.25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.80,29.00,0,30.00,0.25,37.50,.25,87.00,0,89.00,0,92.50,.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34.00,.5,40.00,0.125,42.50,0.125,87.25,.20,88.20,.125,89.75,0.125,92.50,0.125,93.50,.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33.00,.25,93.25,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36.50,1,43.00,1,45.50,.125,90.50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.25,40.00,0,42.00,0,42.25,0,44.25,0,44.75,0,46.50,0,47.75,0,91.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35.00,1,55.5,0.5,57.00,.5,93.50,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36.00,.75,91.50,0.125,92.25,0.125,94.50,.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34.00,.5,90.00,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25.00,0,25.66,0,26.98,0,27.64,0,28.30,0,29.96,0,30.28,0,30.94,0,31.60,0,32.26,0,32.92,0,33.58,0,34.24,0,34.90,0,35.56,0,36.22,0,36.88,0,37.54,0,38.20,0,38.86,0,39.52,0,40.18,0,41.18,0,90.18,3